Metabolites,MetaboliteNames,Cancer_Normal_Malignant,Cancer_Tumor_Malignant,Fibroblast_Normal_FGFR2+,Fibroblast_Tumor_FGFR2+,Fibroblast_Normal_ICAM1+,Fibroblast_Tumor_ICAM1+,Fibroblast_Normal_FAP+,Fibroblast_Tumor_FAP+,Fibroblast_Normal_ICAM1-,Fibroblast_Tumor_ICAM1-,Fibroblast_Normal_MFAP5+,Fibroblast_Tumor_MFAP5+,Fibroblast_Normal_CD73+,Fibroblast_Tumor_CD73+,Fibroblast_Normal_DES+,Fibroblast_Tumor_DES+,Macrophage_Normal_THBS1+,Macrophage_Tumor_THBS1+,Macrophage_Normal_VCAN+,Macrophage_Tumor_VCAN+,Macrophage_Normal_MARCO+,Macrophage_Tumor_MARCO+
MAM00001c,"(-)-trans-carveol",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAM00001e,"(-)-trans-carveol",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00002c,"(+)-alpha-pinene",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAM00002e,"(+)-alpha-pinene",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00003c,"(10Z)-heptadecenoic acid",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00003l,"(10Z)-heptadecenoic acid",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00003r,"(10Z)-heptadecenoic acid",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00003e,"(10Z)-heptadecenoic acid",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00004c,"(10Z)-heptadecenoyl-CoA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00004m,"(10Z)-heptadecenoyl-CoA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00004r,"(10Z)-heptadecenoyl-CoA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00005c,"(11R)-HPETE",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00006c,"(11Z)-docosenoyl-CoA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00006m,"(11Z)-docosenoyl-CoA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00006r,"(11Z)-docosenoyl-CoA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00007c,"(11Z)-eicosenoyl-CoA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00007m,"(11Z)-eicosenoyl-CoA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00007x,"(11Z)-eicosenoyl-CoA",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAM00007r,"(11Z)-eicosenoyl-CoA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00008c,"(11Z,14Z)-eicosadienoic acid",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00008l,"(11Z,14Z)-eicosadienoic acid",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00008r,"(11Z,14Z)-eicosadienoic acid",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00008e,"(11Z,14Z)-eicosadienoic acid",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00009c,"(11Z,14Z)-eicosadienoyl-CoA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00009m,"(11Z,14Z)-eicosadienoyl-CoA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00009r,"(11Z,14Z)-eicosadienoyl-CoA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00010c,"(11Z,14Z,17Z)-eicosatrienoic acid",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00010l,"(11Z,14Z,17Z)-eicosatrienoic acid",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00010r,"(11Z,14Z,17Z)-eicosatrienoic acid",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00010e,"(11Z,14Z,17Z)-eicosatrienoic acid",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00011c,"(11Z,14Z,17Z)-eicosatrienoylcarnitine",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00011m,"(11Z,14Z,17Z)-eicosatrienoylcarnitine",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00011r,"(11Z,14Z,17Z)-eicosatrienoylcarnitine",1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
MAM00012c,"(11Z,14Z,17Z)-eicosatrienoyl-CoA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00012m,"(11Z,14Z,17Z)-eicosatrienoyl-CoA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00012r,"(11Z,14Z,17Z)-eicosatrienoyl-CoA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00013c,"(13E)-11alpha-hydroxy-9,15-dioxoprost-13-enoate",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00014x,"(13E)-tetranor-16-carboxy-LTE4",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00015x,"(13E)-tetranor-16-oxo-16-CoA-LTE4",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00016c,"(13Z)-docosenoyl-CoA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00016m,"(13Z)-docosenoyl-CoA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00016x,"(13Z)-docosenoyl-CoA",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAM00016r,"(13Z)-docosenoyl-CoA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00017c,"(13Z)-eicosenoic acid",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00017l,"(13Z)-eicosenoic acid",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00017r,"(13Z)-eicosenoic acid",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00017e,"(13Z)-eicosenoic acid",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00018c,"(13Z)-eicosenoyl-CoA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00018m,"(13Z)-eicosenoyl-CoA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00018x,"(13Z)-eicosenoyl-CoA",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAM00018r,"(13Z)-eicosenoyl-CoA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00019c,"(13Z)-octadecenoic acid",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00019l,"(13Z)-octadecenoic acid",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00019r,"(13Z)-octadecenoic acid",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00019e,"(13Z)-octadecenoic acid",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00020c,"(13Z)-octadecenoyl-CoA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00020m,"(13Z)-octadecenoyl-CoA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00020r,"(13Z)-octadecenoyl-CoA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00021c,"(13Z,16Z)-docosadienoic acid",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00021l,"(13Z,16Z)-docosadienoic acid",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00021r,"(13Z,16Z)-docosadienoic acid",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00021e,"(13Z,16Z)-docosadienoic acid",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
