Reactions,ReactionNames,MalignantCells_N_,MalignantCells_T_,FGFR2_Fibroblasts_N_,FGFR2_Fibroblasts_T_,ICAM1_Telocytes_N_,ICAM1_Telocytes_T_,FAP_Fibroblasts_N_,FAP_Fibroblasts_T_,ICAM1_Telocytes_N__1,ICAM1_Telocytes_T__1,MFAP5_Myofibroblasts_N_,MFAP5_Myofibroblasts_T_,CD73_Fibroblasts_N_,CD73_Fibroblasts_T_,DES_Myofibroblasts_N_,DES_Myofibroblasts_T_,THBS1_Macrophage_N_,THBS1_Macrophage_T_,VCAN_Monocyte_N_,VCAN_Monocyte_T_,MARCO_Macrophage_N_,MARCO_Macrophage_T_
MAR03905,"ethanol:NAD+ oxidoreductase",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR03907,"Ethanol:NADP+ oxidoreductase",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR04097,"Acetate:CoA ligase (AMP-forming)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR04099,"Acetate:CoA ligase (AMP-forming)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR04108,"acetyl adenylate:CoA acetyltransferase",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR04133,"ATP:acetate adenylyltransferase",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR04281,"(S)-Lactate:NAD+ oxidoreductase",0,0,0,0,2.24388509226844,0,0.0103287839635868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR04388,"(S)-Lactate:NAD+ oxidoreductase",0,0,0,0,0,0,516.149404606588,998.615280502279,848.234805446197,0,999.937388119505,0,0,0,0,0,999.352980755411,1000,998.890111790479,0,999.039106297869,997.743147403984
MAR04283,"Acetaldehyde:NADP+ oxidoreductase",0,0,0,0,0,0,0,0,0,0,0,0,0,2.86927044506024,0,0,0,0,0,0,0,0
MAR08357,"Acetaldehyde:NAD+ oxidoreductase",0,0,976.978883783496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR04379,"ATP:D-fructose-6-phosphate 1-phosphotransferase",6.40917571136686,0.796560093412242,0.68469554411837,0,0,0,0,13.5973014271206,665.972817140398,0,0,666.061384351147,0.796870085022793,0,0.962808934969535,0,0,0.314180051848022,0,0,0,661.915226208188
MAR04301,"UTP:D-fructose-6-phosphate 1-phosphotransferase",0,0,0.0369466104068535,0,0,0.3787869959251,666.285433912484,0,0,0,664.759753351638,0.0270737987512884,0,0.730592195160855,0,661.061563602121,0.653771191593965,0,0.958189539364582,2.22244551169264,662.33587202536,0
MAR04355,"sedoheptulose 1,7-bisphosphate D-glyceraldehyde-3-phosphate-lyase",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR04358,"ATP:pyruvate 2-O-phosphotransferase",0,0,0,0,972.635986442266,999.024335041884,0,0,838.322445799883,0,1000,0,0,0,0,996.117561932634,1000,1000,995.402947156499,0,1000,1000
MAR04360,"2-Oxopropanal:NADP+ oxidoreductase",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR04363,"2-phospho-D-glycerate hydro-lyase (phosphoenolpyruvate-forming)",999.789885460315,999.839897376722,999.813876852068,999.813863541484,982.118420959467,999.737431741461,999.814081888656,999.785965363189,999.814055213803,999.737439075048,999.814055213803,999.737438812485,999.735060733865,999.789734741306,999.813876852066,927.101589190694,999.571499554143,999.070741095884,999.579499554668,999.58009149459,999.579499134167,999.579499554668
MAR04365,"D-phosphoglycerate 2,3-phosphomutase",-999.789885460315,-999.839897376722,-999.813876852068,-999.813863541484,-982.118420959467,-999.737431741461,-999.814081888656,-999.785965363189,-999.814055213803,-999.737439075048,-999.814055213803,-999.737438812485,-999.735060733865,-999.789734741306,-999.813876852066,-113.123196463048,-999.571499554143,0,-999.579499554668,-999.58009149459,-999.579499134167,-999.579499554668
MAR04368,"ATP:3-phospho-D-glycerate 1-phosphotransferase",999.951776990892,999.93468231317,999.927618775805,999.927613599467,999.938709289997,999.939738432466,999.927698512255,999.947795329256,999.927688138701,999.939740115586,999.927688138701,999.939740055324,999.937310610432,999.951742399644,999.927618775803,999.915555153992,999.895491700546,999.901795539542,999.903491701072,999.903627556135,999.903491604563,999.903491701071
MAR04370,"3-Phospho-D-glyceroyl phosphate phosphohydrolase",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR04371,"3-phospho-D-glycerate 1,2-phosphomutase",0.0482230091080414,0.0603176868304757,0.0723812241965708,0.0723864005345011,0.060182368574938,0.0602615675335386,0.0723014877448431,0.0482046707433661,0.0723118612988025,0.0602598844156681,0.0723118612989677,0.0602599446756127,0.0602446440838671,0.0482576003563341,0.0723812241965708,0.0844448460075119,0.0965082989284838,0.0965082989287547,0.096508298928761,0.0963724438646366,0.0965083954371565,0.09650829892876
MAR04372,"2,3-bisphospho-D-glycerate 2-phosphohydrolase",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR04373,"D-glyceraldehyde-3-phosphate:NAD+ oxidoreductase (phosphorylating)",-1000,-999.995,-1000,-1000,-999.998891658572,-1000,-1000,-999.996,-1000,-1000,-1000,-1000,-999.997555254516,-1000,-1000,-1000,-999.991999999475,-999.998303838471,-1000,-1000,-1000,-1000
MAR04375,"D-fructose-1,6-bisphosphate D-glyceraldehyde-3-phosphate-lyase (glycerone-phosphate-forming)",-500.176817700063,-0.417420347620681,-0.26667445957535,0.45500023193115,-500.485442831359,0,-665.830967418088,-500.173602729136,-665.518285440805,-500.304886319961,-664.305221652045,-333.791978962383,-0.418189465067057,-499.242926367404,-0.507841240019662,165.520224025808,-0.0471475983274681,0.292443541418436,-0.351565946098084,-1.61667586454349,165.356446505685,165.356447815905
MAR04377,"D-Fructose-1,6-bisphosphate 1-phosphohydrolase",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR04381,"D-glucose-6-phosphate aldose-ketose-isomerase",-8.22557572110308,-3.06278175575726,-0.437175068205033,-1.27190038510452,-2.37280772119082,0.546658505482815,0.655877781687072,-13.6179605717249,0.655971884639137,-0.031564701360588,0.655971884640635,0.546643783843059,-0.83987527341299,0.437765374660224,-2.24151181663921,0.766035388782429,-0.274481743143768,-2.00992596084318,-0.99955023890548,-1.84368999032597,0.875469015751348,0.875468140282323
MAR04391,"D-glyceraldehyde-3-phosphate aldose-ketose-isomerase",499.853034638909,-0.387953098002782,-0.219313760031604,996.192458221791,500.081361213784,998.439655840649,2.31288209412594,499.849942797002,1.7636071375382,499.900284238885,2.97667092630172,333.387376476704,-0.386208699646195,498.918911050726,-0.463033815516997,-166.087210849001,0,0.352198818271928,-0.296418346709311,2.26041075896837,-166.004431446477,-166.004432108713
MAR04394,"ATP:D-glucose 6-phosphotransferase",0,3.61856615583807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR04396,"alpha-D-glucose 1,6-phosphomutase",-0.303116057250546,-0.379139745791561,-0.454967694950085,-0.45500023193115,-0.886040547592101,-0.3787869959251,-0.454466494397866,-0.30300078752973,-0.454531699592473,0.199431522232806,-0.454531699593511,-0.378776795103852,-0.883462763289203,-0.303333487953293,-0.454967694949874,-0.53079617490436,-0.606623593266498,-0.606623593266458,-0.606623593266498,-0.605769647149144,-0.606624199890698,-0.606623593266492
MAR04521,"D-Glucose-6-phosphate phosphohydrolase",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR06412,"acetyl-CoA:enzyme N6-(dihydrolipoyl)lysine S-acetyltransferase",0,0,0,0,0,0,481.898455224301,0,0,0,0,0,0,0,0,909.689081547882,0,0,0,0,0,0
MAR07745,"D-glucose 1-epimerase",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR07747,"ADP:D-glucose 6-phosphotransferase",0,0,0,0,0,0,0,0,0,0,0,0,0.504782143333468,0,0,0,0,0,1.87501837918781,0,0,0
MAR08360,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR08652,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR08757,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR03989,"maltose glucohydrolase",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR04122,"UDP-glucose:NAD+ 6-oxidoreductase",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR04837,"alpha,alpha-trehalose glucohydrolase",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR05395,"UDP-alpha-D-glucose:glycogenin alpha-D-glucosyltransferase",0,0,0,0,0.507751373692491,0,0,0,0,0,0,0,0.504782143333466,0,0,0,0,0,0,0,0,0
MAR05396,"",0,0,0,0,0.507751373692491,0,0,0,0,0,0,0,0.504782143333466,0,0,0,0,0,0,0,0,0
MAR09727,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR05397,"",0,0,0,0,0.507751373692491,0,0,0,0,0,0,0,0.504782143333466,0,0,0,0,0,0,0,0,0
MAR05398,"",0,0,0,0,0.507751373692491,0,0,0,0,0,0,0,0.504782143333466,0,0,0,0,0,0,0,0,0
MAR05399,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR05400,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR05401,"",0,0,0,0,0.507751373692491,0,0,0,0,0,0,0,0.504782143333466,0,0,0,0,0,0,0,0,0
MAR08568,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR08569,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR08570,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR08571,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR08572,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR08573,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR08574,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR08575,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR08576,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR08577,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR08578,"",0,0,0,0,0.00577124360247988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR08579,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR08581,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR08591,"",0,0,0,0,0.00577124360247988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR08592,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR08580,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR08582,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR08587,"maltose glucohydrolase",0,0,0,0,0.00577124360247988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR08589,"maltose glucohydrolase",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR08583,"1,4-alpha-D-Glucan glucohydrolase",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR08584,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR08585,"3-phospho-D-glyceroyl-phosphate:alpha-D-glucose-1-phosphate 6-phosphotransferase",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR03944,"UTP:alpha-D-glucose-1-phosphate uridylyltransferase",0.303116057250577,0.379139745791561,0.454967694949874,0.45500023193115,5.96355428451702,0.3787869959251,0.454466494401459,0.30300078752973,0.454531699592473,0.378776416327056,0.454531699593511,0.378776795103852,5.93128419662386,0.303333487953296,0.454967694949874,0.53079617490436,0.606623593266498,0.606623593266458,0.606623593266498,0.605769647149144,0.606624199890698,0.606623593266492
MAR04128,"UDP-glucose 4-epimerase",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR04130,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR04131,"UDP-glucose:alpha-D-galactose-1-phosphate uridylyltransferase",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR04132,"UDP-glucose:alpha-D-galactose-1-phosphate uridylyltransferase",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR04303,"sucrose glucohydrolase",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR04414,"ATP:alpha-D-galactose 1-phosphotransferase",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR04415,"Lactose galactohydrolase",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR04416,"Galactosylglycerol galactohydrolase",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR04831,"Lactose:(acceptor) 3-oxidoreductase",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR04832,"3-Ketolactose galactohydrolase",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR07674,"UDP-alpha-D-galactose:D-glucose 4-beta-D-galactosyltransferase",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR08761,"ATP:D-tagatose 6-phosphotransferase",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR08762,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR08764,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR08766,"galactitol:NADP+ 1-oxidoreductase",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR08767,"UTP:alpha-D-galactose-1-phosphate uridylyltransferase",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR00454,"ATP:D-glyceraldehyde 3-phosphotransferase",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR04297,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR04310,"ATP:D-fructose 1-phosphotransferase",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR04315,"D-Glucitol:NAD+ 2-oxidoreductase",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
