Genes,GeneShortNames,UsedReactions,Cancer_Normal_Malignant,Cancer_Tumor_Malignant,Fibroblast_Normal_FGFR2+,Fibroblast_Tumor_FGFR2+,Fibroblast_Normal_ICAM1+,Fibroblast_Tumor_ICAM1+,Fibroblast_Normal_FAP+,Fibroblast_Tumor_FAP+,Fibroblast_Normal_ICAM1-,Fibroblast_Tumor_ICAM1-,Fibroblast_Normal_MFAP5+,Fibroblast_Tumor_MFAP5+,Fibroblast_Normal_CD73+,Fibroblast_Tumor_CD73+,Fibroblast_Normal_DES+,Fibroblast_Tumor_DES+,Macrophage_Normal_THBS1+,Macrophage_Tumor_THBS1+,Macrophage_Normal_VCAN+,Macrophage_Tumor_VCAN+,Macrophage_Normal_MARCO+,Macrophage_Tumor_MARCO+
ENSG00000000419,DPM1,"MAR07271, MAR07275",71.2410360926263,89.1088006326229,106.930560759148,106.938207890344,88.9088916492343,89.0258942165223,106.812764140055,71.2139443759567,106.828089246174,89.0234077051451,106.828089246174,89.0234077051451,89.0008927885529,71.2921385935629,106.930560759148,124.752320885673,142.574081012197,142.574081012198,142.574081012198,142.373378988295,142.574081012197,142.574081012197
ENSG00000001036,FUCA2,"MAR07580, MAR07582, MAR07373, MAR07375",71.2410360926263,89.1088006326229,106.930560759148,106.938207890344,88.9088916492343,89.0258942165223,106.812764140055,71.2139443759567,106.828089246174,89.0234077051451,106.828089246174,89.0234077051451,89.0008927885529,71.2921385935629,106.930560759148,124.752320885673,142.574081012197,142.574081012198,142.574081012198,142.373378988295,142.574081012197,142.574081012197
ENSG00000001084,GCLC,"MAR04324",71.2410360926263,89.1088006326229,106.930560759148,106.938207890344,88.9088916492343,89.0258942165223,106.812764140055,71.2139443759567,106.828089246174,89.0234077051451,106.828089246174,89.0234077051451,89.0008927885529,71.2921385935629,106.930560759148,124.752320885673,142.574081012197,142.574081012198,142.574081012198,142.373378988295,142.574081012197,142.574081012197
ENSG00000001630,CYP51A1,"MAR01477, MAR01478, MAR01479, MAR01536, MAR01538, MAR01539, MAR02200",71.2410360926263,89.1088006326229,0,0,0,89.0258942165223,0,71.2139443759567,0,0,0,0,89.0008927885529,71.2921385935629,106.930560759148,124.752320885673,142.574081012197,142.574081012198,142.574081012198,142.373378988295,142.574081012197,0
ENSG00000002549,LAP3,"MAR04328, MAR04329, MAR07149",71.2410360926263,89.1088006326229,106.930560759148,106.938207890344,88.9088916492343,89.0258942165223,106.812764140055,71.2139443759567,106.828089246174,89.0234077051451,106.828089246174,89.0234077051451,89.0008927885529,71.2921385935629,106.930560759148,124.752320885673,142.574081012197,142.574081012198,142.574081012198,142.373378988295,142.574081012197,142.574081012197
ENSG00000002587,HS3ST1,"MAR07220, MAR07222",0,0,106.930560759148,106.938207890344,88.9088916492343,89.0258942165223,106.812764140055,71.2139443759567,106.828089246174,89.0234077051451,106.828089246174,89.0234077051451,89.0008927885529,71.2921385935629,106.930560759148,124.752320885673,0,142.574081012198,0,0,0,0
ENSG00000002726,AOC1,"MAR04423, MAR06931, MAR06932, MAR06933, MAR06934, MAR06935, MAR06936, MAR06941, MAR06942, MAR06943, MAR06944, MAR06945, MAR06946, MAR06947, MAR06948, MAR06949, MAR06950, MAR06951, MAR06952, MAR08604, MAR08606, MAR04430, MAR08783, MAR04682, MAR08529, MAR06713, MAR06758, MAR06789, MAR07992, MAR09562",71.2410360926263,89.1088006326229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142.574081012197,142.574081012198,142.574081012198,142.373378988295,142.574081012197,142.574081012197
ENSG00000002746,HECW1,"MAR09491",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000003137,CYP26B1,"MAR06641, MAR06642, MAR06664, MAR06665, MAR06681, MAR06682, MAR06683, MAR06684, MAR06687, MAR06702, MAR06703",-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
ENSG00000003987,MTMR7,"MAR06545, MAR06547, MAR06557, MAR06591",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000003989,SLC7A2,"MAR04849, MAR05068, MAR05070, MAR05071, MAR05073, MAR05074, MAR05076, MAR05077, MAR05078, MAR05079, MAR05080, MAR05082, MAR05084, MAR05085, MAR05087, MAR05088, MAR05089, MAR05091, MAR05092, MAR05094, MAR05305, MAR05315, MAR05319, MAR06379, MAR06383",0,0,0,0,0,0,0,0,0,0,0,0,0,71.2921385935628,0,0,0,0,142.574081012198,0,0,0
ENSG00000004455,AK2,"MAR04002, MAR04004, MAR04480",71.2410360926263,89.1088006326229,106.930560759148,106.938207890344,88.9088916492343,89.0258942165223,106.812764140055,71.2139443759567,106.828089246174,89.0234077051451,106.828089246174,89.0234077051451,89.0008927885529,71.2921385935629,106.930560759148,124.752320885673,142.574081012197,142.574081012198,142.574081012198,142.373378988295,142.574081012197,142.574081012197
ENSG00000004468,CD38,"MAR07142, MAR07143, MAR07627, MAR08788, MAR07905",0,0,0,0,0,89.0258942165223,106.812764140055,0,0,0,0,0,0,0,0,0,142.574081012197,142.574081012198,142.574081012198,142.373378988295,142.574081012197,142.574081012197
ENSG00000004478,FKBP4,"MAR09492",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000004779,NDUFAB1,"MAR06921",71.2410360926263,0,106.930560759148,106.938207890344,88.9088916492343,89.0258942165223,106.812764140055,71.2139443759567,106.828089246174,89.0234077051451,106.828089246174,89.0234077051451,89.0008927885529,71.2921385935629,106.930560759148,124.752320885673,142.574081012197,142.574081012198,142.574081012198,142.373378988295,142.574081012197,142.574081012197
ENSG00000004799,PDK4,"MAR09517",71.2410360926263,89.1088006326229,106.930560759148,106.938207890344,88.9088916492343,89.0258942165223,106.812764140055,71.2139443759567,106.828089246174,89.0234077051451,106.828089246174,89.0234077051451,89.0008927885529,71.2921385935629,106.930560759148,124.752320885673,142.574081012197,142.574081012198,142.574081012198,142.373378988295,142.574081012197,142.574081012197
ENSG00000004809,SLC22A16,"MAR08677",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000004864,SLC25A13,"MAR03825, MAR03863, MAR03864",71.2410360926263,89.1088006326229,106.930560759148,0,88.9088916492343,0,0,71.2139443759567,106.828089246174,89.0234077051451,106.828089246174,0,89.0008927885529,71.2921385935628,106.930560759148,124.752320885673,142.574081012197,142.574081012198,142.574081012198,142.373378988295,142.574081012197,142.574081012197
ENSG00000004939,SLC4A1,"MAR06525, MAR09059",71.2410360926263,89.1088006326229,106.930560759148,106.938207890344,88.9088916492343,89.0258942165223,106.812764140055,71.2139443759567,106.828089246174,89.0234077051451,106.828089246174,89.0234077051451,89.0008927885529,71.2921385935629,106.930560759148,124.752320885673,142.574081012197,142.574081012198,142.574081012198,142.373378988295,142.574081012197,142.574081012197
ENSG00000004961,HCCS,"MAR04762",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
