Reactions,ReactionNames,rxnFormulas,subSystems,Cancer_Normal_Malignant,Cancer_Tumor_Malignant,Fibroblast_Normal_FGFR2_,Fibroblast_Tumor_FGFR2_,Fibroblast_Normal_ICAM1_,Fibroblast_Tumor_ICAM1_,Fibroblast_Normal_FAP_,Fibroblast_Tumor_FAP_,Fibroblast_Normal_ICAM1__1,Fibroblast_Tumor_ICAM1__1,Fibroblast_Normal_MFAP5_,Fibroblast_Tumor_MFAP5_,Fibroblast_Normal_CD73_,Fibroblast_Tumor_CD73_,Fibroblast_Normal_DES_,Fibroblast_Tumor_DES_,Macrophage_Normal_THBS1_,Macrophage_Tumor_THBS1_,Macrophage_Normal_VCAN_,Macrophage_Tumor_VCAN_,Macrophage_Normal_MARCO_,Macrophage_Tumor_MARCO_
MAR03905,"ethanol:NAD+ oxidoreductase",MAM01796c + MAM02552c  -> MAM01249c + MAM02039c + MAM02553c,"Glycolysis / Gluconeogenesis",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAR03907,"Ethanol:NADP+ oxidoreductase",MAM01796c + MAM02554c  -> MAM01249c + MAM02039c + MAM02555c,"Glycolysis / Gluconeogenesis",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAR04097,"Acetate:CoA ligase (AMP-forming)",MAM01252c + MAM01371c + MAM01597c  -> MAM01261c + MAM01334c + MAM02759c,"Glycolysis / Gluconeogenesis",1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1
MAR04099,"Acetate:CoA ligase (AMP-forming)",MAM01252m + MAM01371m + MAM01597m  -> MAM01261m + MAM01334m + MAM02759m,"Glycolysis / Gluconeogenesis",1,1,1,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0
MAR04108,"acetyl adenylate:CoA acetyltransferase",MAM01257c + MAM01597c  -> MAM01261c + MAM01334c + MAM02039c,"Glycolysis / Gluconeogenesis",1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1
MAR04133,"ATP:acetate adenylyltransferase",MAM01252c + MAM01371c + MAM02039c  -> MAM01257c + MAM02759c,"Glycolysis / Gluconeogenesis",1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1
MAR04281,"(S)-Lactate:NAD+ oxidoreductase",MAM02039x + MAM02553x + MAM02819x  <=> MAM02403x + MAM02552x,"Glycolysis / Gluconeogenesis",1,1,0.965765317762378,0.96923654054335,1,1,0.999604746645785,0.939287372040972,0.968171197715507,0.958781749654342,0.970147359277886,0.963964498175154,0.993471926805422,0.954362917188867,0.971626797062596,0.95749977940947,1,0.967366594366662,0.971432598999246,0.995820610068971,0.969896678412187,0.96398909881208
MAR04388,"(S)-Lactate:NAD+ oxidoreductase",MAM02039c + MAM02553c + MAM02819c  <=> MAM02403c + MAM02552c,"Glycolysis / Gluconeogenesis",0.976840547801809,0.987538945036779,1,0.989559109379613,0.989576250397919,0.986120166421242,0.975173582902595,0.995526777421611,0.985467323806721,0.991617462862649,0.985038557560922,0.982573343179026,0.978885349630441,0.994032081317268,0.991588530346305,0.98479460499147,0.991682843751901,0.992339471522482,1,0.991636032034615,0.986677180660902,0.986766754398175
MAR04283,"Acetaldehyde:NADP+ oxidoreductase",MAM01249c + MAM02040c + MAM02554c  -> MAM01252c + 2 MAM02039c + MAM02555c,"Glycolysis / Gluconeogenesis",0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1
MAR08357,"Acetaldehyde:NAD+ oxidoreductase",MAM01249m + MAM02040m + MAM02552m  -> MAM01252m + 2 MAM02039m + MAM02553m,"Glycolysis / Gluconeogenesis",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
